"LABNR","C14AGE","C14STD","MATERIAL","COUNTRY","REGION","SITE","LAT","LONG","CLASS","LITHICS","POTTERY","IRON","SOURCES"
"Beta-143016",2340,70,"-","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Bwambé/Mpoengu","-","Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2"
"Beta-143017",2520,70,"-","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Bwambé/Mpoengu","-","Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2"
"Beta-146655",2200,60,"-","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Bwambé/Mpoengu","slag","Eggert et al. 2006: 277 Tab. 2; Oslisly 2006: 131; Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2"
"Beta-146656",2030,80,"-","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Bwambé/Mpoengu","-","Oslisly 2006; Nlend Nlend 2013/2014: 257 Tab. 44; Eggert/Seidensticker 2016:78 Tab. 4.2"
"Beta-146657",2340,60,"-","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Bwambé/Mpoengu","-","Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2"
"Beta-156378",2240,70,"-","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang","-","Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2"
"Beta-156379",2360,70,"-","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang","-","Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2"
"Beta-156380",2550,90,"-","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang","-","Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2"
"Beta-156381",2240,90,"-","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang","-","Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2"
"Beta-156382",2410,60,"-","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Bwambé/Mpoengu","-","Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2"
"Beta-156383",2460,70,"-","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang","-","Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2"
"Erl-9176",2326,86,"Charcoal_seed_Pennisetum glaucum","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang; Bwambé/Mpoengu","-","Eggert et al. 2006: 283; Eggert/Seidensticker 2016:79 Tab. 4.2"
"Erl-9177",2305,44,"Charcoal_endocarp_elaeis","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang; Bwambé/Mpoengu","-","Eggert et al. 2006: 283; Eggert/Seidensticker 2016:79 Tab. 4.2"
"KIA-27034",2363,20,"Charcoal","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang; Bwambé/Mpoengu","-","Eggert et al. 2006: 283; Eggert/Seidensticker 2016:78 Tab. 4.2"
"KIA-27035",2384,57,"Charcoal","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang; Bwambé/Mpoengu","-","Eggert et al. 2006: 283; Eggert/Seidensticker 2016:78 Tab. 4.2"
"KIA-27036",2206,31,"Charcoal","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang; Bwambé/Mpoengu","-","Eggert et al. 2006: 283; Eggert/Seidensticker 2016:79 Tab. 4.2"
"KIA-27037",2193,29,"Charcoal","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang; Bwambé/Mpoengu","slag?","Eggert et al. 2006: 283; Nlend Nlend 2013/2014: 257 Tab. 44; Eggert/Seidensticker 2016:79 Tab. 4.2"
"KIA-29697",2162,60,"Charcoal_seed_Pennisetum glaucum","CMR","A","Bwambé-Sommet (Est)",2.89,9.9,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang; Bwambé/Mpoengu","-","Eggert et al. 2006; Eggert/Seidensticker 2016:79 Tab. 4.2"
"Beta-146659",1710,60,"-","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","-","Oslisly et al. 2006; Eggert/Seidensticker 2016:65 Tab. 4.1"
"Beta-156384",1830,70,"-","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","object","Oslisly et al. 2006; Eggert/Seidensticker 2016:65 Tab. 4.1"
"Beta-156385",1780,60,"-","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","-","Oslisly et al. 2006; Eggert/Seidensticker 2016:65 Tab. 4.1"
"KIA-33069",1713,25,"Charcoal","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","object","Meister/Eggert 2008; Eggert/Seidensticker 2016:64 Tab. 4.1"
"KIA-33070",1796,24,"Charcoal","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","object","Meister/Eggert 2008; Eggert/Seidensticker 2016:64 Tab. 4.1"
"KIA-33071",1742,26,"Charcoal","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","object","Meister/Eggert 2008; Eggert/Seidensticker 2016:64 Tab. 4.1"
"KIA-33073",1729,26,"Charcoal_endocarp_elaeis","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","object","Meister/Eggert 2008; Eggert/Seidensticker 2016:64 Tab. 4.1"
"KIA-33074",1714,23,"Charcoal_endocarp_elaeis","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","object","Meister/Eggert 2008; Eggert/Seidensticker 2016:64 Tab. 4.1"
"KIA-33075",1901,24,"Charcoal_endocarp_elaeis","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","object","Meister/Eggert 2008; Eggert/Seidensticker 2016:64 Tab. 4.1"
"KIA-33076",1988,28,"Charcoal","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","object","Meister/Eggert 2008; Eggert/Seidensticker 2016:64 Tab. 4.1"
"KIA-33078",1847,22,"Charcoal_endocarp_elaeis","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","object","Meister/Eggert 2008; Eggert/Seidensticker 2016:64 Tab. 4.1"
"KIA-34088",1920,25,"Charcoal_endocarp_elaeis","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","object","Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:64 Tab. 4.1; Garcin et al. 2018"
"KIA-34094",1900,25,"Charcoal_endocarp_elaeis","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","object; slag","Eggert/Seidensticker 2016:65 Tab. 4.1"
"KIA-34095",1865,25,"Charcoal_endocarp_elaeis","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","object; slag","Eggert/Seidensticker 2016:65 Tab. 4.1"
"KIA-34096",1665,25,"Charcoal_endocarp_elaeis","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","object","Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:64 Tab. 4.1; Garcin et al. 2018"
"KIA-34097",1775,30,"Charcoal_endocarp_elaeis","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","object","Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:64 Tab. 4.1; Garcin et al. 2018"
"KIA-34098",2150,25,"Charcoal_endocarp_elaeis","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang","-","Kahlheber et al. 2014: 501 Tab. 4; Eggert/Seidensticker 2016:65 Tab. 4.1; Garcin et al. 2018"
"KIA-34099",2185,20,"Charcoal_endocarp_elaeis","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang","-","Kahlheber et al. 2014: 501 Tab. 4; Eggert/Seidensticker 2016:65 Tab. 4.1; Garcin et al. 2018"
"KIA-34100",1850,25,"Charcoal_endocarp_elaeis","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","object","Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:64 Tab. 4.1; Garcin et al. 2018"
"KIA-34108",1875,25,"Charcoal","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","object","Eggert/Seidensticker 2016:64 Tab. 4.1"
"KIA-34109",1845,25,"Charcoal_endocarp_elaeis","CMR","A","Campo",2.38,9.83,"Ia relevant dates, strong archaeological context","-","Campo","object","Eggert/Seidensticker 2016:64 Tab. 4.1"
"Beta-245103",220,40,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba A","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245104",190,40,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba A","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245105",760,40,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba C","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245106",530,40,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba B","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245107",130,40,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba A","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245108",770,40,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba C","slag?","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245109",790,50,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba C","-","Oslisly et al. 2013; de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245110",250,50,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba A","slag?","Oslisly et al. 2013; de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245111",730,40,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba C","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245112",920,50,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba C","-","Oslisly et al. 2013; de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245113",760,40,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba C","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245114",260,50,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba A","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245115",1980,50,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba D","-","Oslisly et al. 2013; de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245116",1900,50,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba D","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245117",530,40,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba B","-","Oslisly et al. 2013; de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245118",830,50,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba C","slag?","Oslisly et al. 2013; de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245119",1810,50,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba D","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245120",120,50,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba A","-","Oslisly et al. 2013; de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245121",210,50,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba A","-","Oslisly et al. 2013; de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245122",200,40,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba B","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-245123",130,40,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba B","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-300121",880,30,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba C","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-300122",990,30,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba C","slag?","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-300123",1810,30,"Charcoal_endocarp_elaeis","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba D","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-300124",310,30,"Charcoal_endocarp_elaeis","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba B","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-302753",260,30,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba B","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-302754",110,30,"Charcoal_endocarp_elaeis","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba B","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-302758",110,30,"Charcoal_endocarp_elaeis","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba A","slag?","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-302759",1040,30,"Charcoal_endocarp_elaeis","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba B","slag?","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-302760",520,30,"Charcoal_endocarp_elaeis","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba B","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-302761",0,0,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba A","-","de Saulieu et al. 2017: 25 Tab. 1"
"Poz-74441",2470,30,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba E","-","de Saulieu et al. 2017: 25 Tab. 1"
"Poz-74444",340,30,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba B","-","de Saulieu et al. 2017: 25 Tab. 1"
"Poz-74504",2435,30,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba E","-","de Saulieu et al. 2017: 25 Tab. 1"
"Poz-74505",1855,30,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba D","-","de Saulieu et al. 2017: 25 Tab. 1"
"Poz-74506",320,30,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba B","-","de Saulieu et al. 2017: 25 Tab. 1"
"Poz-74508",435,30,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba B","-","de Saulieu et al. 2017: 25 Tab. 1"
"Poz-74509",420,30,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba B","-","de Saulieu et al. 2017: 25 Tab. 1"
"Poz-74510",520,30,"-","CMR","A","Dibamba",4,9.82,"Ia relevant dates, strong archaeological context","-","Dibamba B","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-182546",2540,60,"-","CMR","A","Dombè",2.96,9.95,"Ia relevant dates, strong archaeological context","indet","Malongo/Bissiang","-","Lavachery et al. 2010: 175; Gouem Gouem 2010/2011: 531; Eggert/Seidensticker 2016:77 Tab. 4.2"
"Beta-182547",2440,60,"-","CMR","A","Dombè",2.96,9.95,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang","-","Lavachery et al. 2010: 175; Gouem Gouem 2010/2011: 537; Eggert/Seidensticker 2016:77 Tab. 4.2"
"SacA-32568",1840,30,"Charcoal_endocarp_elaeis","CMR","A","Efoulan 1",2.39,12.46,"Ia relevant dates, strong archaeological context","-","Akonetye South","object","de Saulieu et al. 2015: 406 Tab. 1: 410 Fig. 5; Garcin et al. 2018"
"KIA-24732",1736,28,"Charcoal","CMR","A","Kribi",2.93,9.91,"Ia relevant dates, strong archaeological context","-","Akonetye South","-","Meister 2007: 47 Tab. 1, 48 Fig. 3; Meister/Eggert 2008: 48 Fig. 3; Eggert/Seidensticker 2016:83 Tab. 4.2"
"KIA-24733",1760,24,"Charcoal","CMR","A","Kribi",2.93,9.91,"Ia relevant dates, strong archaeological context","-","Akonetye South","-","Meister 2007: 47 Tab. 1, 48 Fig. 3; Meister/Eggert 2008: 48 Fig. 3; Eggert/Seidensticker 2016:83 Tab. 4.2"
"Beta-233400",1520,40,"-","CMR","A","Kribi-Mpoengu",2.93,9.91,"Ia relevant dates, strong archaeological context","-","Bidjouka","object","Gouem Gouem 2010/2011: 627; Eggert/Seidensticker 2016:79 Tab. 4.2"
"Beta-233401",1510,50,"-","CMR","A","Kribi-Mpoengu",2.93,9.91,"Ia relevant dates, strong archaeological context","indet","Bidjouka","object; slag","Gouem Gouem 2010/2011: 279, 597; Eggert/Seidensticker 2016:79 Tab. 4.2"
"Beta-242316",2190,50,"-","CMR","A","Kribi-Mpoengu",2.93,9.91,"Ia relevant dates, strong archaeological context","indet","Bwambé/Mpoengu","slag","Gouem Gouem 2010/2011: 196, 547; Eggert/Seidensticker 2016:79 Tab. 4.2"
"Beta-242317",1470,40,"-","CMR","A","Kribi-Mpoengu",2.93,9.91,"Ia relevant dates, strong archaeological context","indet","Bidjouka","object; slag","Gouem Gouem 2010/2011: 303, 612; Eggert/Seidensticker 2016:79 Tab. 4.2"
"Beta-279279",2390,50,"-","CMR","A","Kribi-Mpolongwe",2.93,9.91,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang; Bwambé/Mpoengu","-","Nlend Nlend 2013/2014"
"Beta-279281",2250,50,"-","CMR","A","Kribi-Mpolongwe",2.93,9.91,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang","-","Nlend Nlend 2013/2014"
"Beta-279282",2280,40,"-","CMR","A","Kribi-Mpolongwe",2.93,9.91,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang","-","Nlend Nlend 2013/2014"
"Beta-279283",2410,50,"-","CMR","A","Kribi-Mpolongwe",2.93,9.91,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang; Bwambé/Mpoengu","-","Nlend Nlend 2013/2014: 257 Tab. 44"
"Beta-279284",2610,50,"-","CMR","A","Kribi-Mpolongwe",2.93,9.91,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang","-","Nlend Nlend 2013/2014"
"Beta-279286",2450,40,"-","CMR","A","Kribi-Mpolongwe",2.93,9.91,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang","-","Nlend Nlend 2013/2014: 257 Tab. 44, 283"
"Beta-233402",2040,50,"Charcoal","CMR","A","Kribi-Talla",2.93,9.91,"Ia relevant dates, strong archaeological context","indet","Bwambé/Mpoengu","-","Gouem Gouem 2010/2011: 220, 560; Nlend Nlend 2013/2014: 257 Tab. 44; Eggert/Seidensticker 2016:80 Tab. 4.2"
"Beta-246742",1610,40,"-","CMR","A","Kribi-Talla",2.93,9.91,"Ia relevant dates, strong archaeological context","indet","Bidjouka","object; slag","Gouem Gouem 2010/2011: 577; Eggert/Seidensticker 2016:80 Tab. 4.2"
"Beta-246743",1660,40,"-","CMR","A","Kribi-Talla",2.93,9.91,"Ia relevant dates, strong archaeological context","indet","Bidjouka","object; slag","Gouem Gouem 2010/2011: 226, 568; Eggert/Seidensticker 2016:80 Tab. 4.2"
"Poz-66608",1885,30,"-","CMR","A","Lolabé",2.69,9.85,"Ia relevant dates, strong archaeological context","-","Dibamba D","-","de Saulieu et al. 2017: 34 Tab. 2"
"Poz-66609",1760,30,"-","CMR","A","Lolabé",2.69,9.85,"Ia relevant dates, strong archaeological context","-","Dibamba D","-","de Saulieu et al. 2017: 34 Tab. 2"
"Beta-156387",2340,60,"-","CMR","A","Malongo 1",2.73,9.87,"Ia relevant dates, strong archaeological context","-","Malongo/Bissiang","-","Oslisly et al. 2006: 130; Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2"
"Beta-22495",2380,70,"-","CMR","A","Mfomakap/Nkometou",4.05,11.55,"Ia relevant dates, strong archaeological context","indet","Obobogo","slag","Essomba 1992: 241; Elouga 1998; Clist 2004/2005: 724 Tab. 8-3; Leka 2013: Annex 4"
"Hv-12854",2230,80,"Charcoal_endocarp_elaeis","CMR","A","Mfomakap/Nkometou",4.05,11.55,"Ia relevant dates, strong archaeological context","indet","Obobogo","slag","Essomba 1991: 248 Tab. 18; Essomba 1989; Clist 2004/2005: 724 Tab. 8-3; Leka 2013: Annex 4"
"KIA-8456",2217,24,"Charcoal","CMR","A","Mfomakap/Nkometou",4.05,11.55,"Ia relevant dates, strong archaeological context","-","Obobogo","-","Eggert 2002; Clist 2004/2005: 724 Tab. 8-3; Meister 2007: 44"
"KIA-29605",1871,35,"Charcoal_endocarp_elaeis","CMR","A","Minyin",2.38,11.33,"Ia relevant dates, strong archaeological context","-","Akonetye North","-","Meister/Eggert 2008"
"KIA-29606",1922,24,"Charcoal_endocarp_elaeis","CMR","A","Minyin",2.38,11.33,"Ia relevant dates, strong archaeological context","-","Akonetye North","-","Meister/Eggert 2008"
"Erl-12264",1960,39,"Charcoal","CMR","A","Mouanko-Lobethal",3.64,9.78,"Ia relevant dates, strong archaeological context","-","Campo","slag?","Meister 2010: 241; Eggert/Seidensticker 2016:81 Tab. 4.2"
"KIA-12944",1816,34,"Charcoal","CMR","A","Mouanko-Lobethal",3.64,9.78,"Ia relevant dates, strong archaeological context","-","Campo","-","Eggert 2002; Eggert/Seidensticker 2016:80 Tab. 4.2"
"KIA-12945",1800,27,"Charcoal","CMR","A","Mouanko-Lobethal",3.64,9.78,"Ia relevant dates, strong archaeological context","-","Campo","-","Eggert 2002; Eggert/Seidensticker 2016:80 Tab. 4.2"
"Hv-12847",2414,60,"Charcoal_wood","CMR","A","Ndindan",3.91,11.5,"Ia relevant dates, strong archaeological context","(polished indet)","Obobogo","-","Mbida Mindzie 2002; Clist 2004/2005: 724 Tab. 8-3; Eggert et al. 2006: 276 Tab. 1; Leka 2013: Annex 4"
"Hv-12849",2140,60,"Charcoal_wood","CMR","A","Ndindan",3.91,11.5,"Ia relevant dates, strong archaeological context","(polished indet)","Obobogo","-","Mbida Mindzie 2002; Clist 2004/2005: 724 Tab. 8-3; Eggert et al. 2006: 276 Tab. 1; Leka 2013: Annex 4"
